PG.MolecularWeight,PG.NrOfStrippedSequencesIdentified (Experiment-wide),PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,[1] 20251205_SR_saliva_set2_#1.raw.PG.NrOfStrippedSequencesIdentified,[2] 20251205_SR_saliva_set2_#2.raw.PG.NrOfStrippedSequencesIdentified,[3] 20251205_SR_saliva_set2_#3.raw.PG.NrOfStrippedSequencesIdentified,[4] 20251205_SR_saliva_set2_#4.raw.PG.NrOfStrippedSequencesIdentified,[5] 20251205_SR_saliva_set2_#5.raw.PG.NrOfStrippedSequencesIdentified,[6] 20251205_SR_saliva_set2_#6.raw.PG.NrOfStrippedSequencesIdentified,[7] 20251205_SR_saliva_set2_#7.raw.PG.NrOfStrippedSequencesIdentified,[8] 20251205_SR_saliva_set2_#8.raw.PG.NrOfStrippedSequencesIdentified,[9] 20251205_SR_saliva_set2_#9.raw.PG.NrOfStrippedSequencesIdentified,[10] 20251205_SR_saliva_set2_#10.raw.PG.NrOfStrippedSequencesIdentified,[11] 20251205_SR_saliva_set2_#11.raw.PG.NrOfStrippedSequencesIdentified,[12] 20251205_SR_saliva_set2_#12.raw.PG.NrOfStrippedSequencesIdentified,[13] 20251205_SR_saliva_set2_#13.raw.PG.NrOfStrippedSequencesIdentified,[1] 20251205_SR_saliva_set2_#1.raw.PG.Quantity,[2] 20251205_SR_saliva_set2_#2.raw.PG.Quantity,[3] 20251205_SR_saliva_set2_#3.raw.PG.Quantity,[4] 20251205_SR_saliva_set2_#4.raw.PG.Quantity,[5] 20251205_SR_saliva_set2_#5.raw.PG.Quantity,[6] 20251205_SR_saliva_set2_#6.raw.PG.Quantity,[7] 20251205_SR_saliva_set2_#7.raw.PG.Quantity,[8] 20251205_SR_saliva_set2_#8.raw.PG.Quantity,[9] 20251205_SR_saliva_set2_#9.raw.PG.Quantity,[10] 20251205_SR_saliva_set2_#10.raw.PG.Quantity,[11] 20251205_SR_saliva_set2_#11.raw.PG.Quantity,[12] 20251205_SR_saliva_set2_#12.raw.PG.Quantity,[13] 20251205_SR_saliva_set2_#13.raw.PG.Quantity,[1] 20251205_SR_saliva_set2_#1.raw.PG.IBAQ,[2] 20251205_SR_saliva_set2_#2.raw.PG.IBAQ,[3] 20251205_SR_saliva_set2_#3.raw.PG.IBAQ,[4] 20251205_SR_saliva_set2_#4.raw.PG.IBAQ,[5] 20251205_SR_saliva_set2_#5.raw.PG.IBAQ,[6] 20251205_SR_saliva_set2_#6.raw.PG.IBAQ,[7] 20251205_SR_saliva_set2_#7.raw.PG.IBAQ,[8] 20251205_SR_saliva_set2_#8.raw.PG.IBAQ,[9] 20251205_SR_saliva_set2_#9.raw.PG.IBAQ,[10] 20251205_SR_saliva_set2_#10.raw.PG.IBAQ,[11] 20251205_SR_saliva_set2_#11.raw.PG.IBAQ,[12] 20251205_SR_saliva_set2_#12.raw.PG.IBAQ,[13] 20251205_SR_saliva_set2_#13.raw.PG.IBAQ
68394.14,1,O88487,Dync1i2,Mus musculus,Cytoplasmic dynein 1 intermediate chain 2,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,15142.37988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,605.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34490.17,6,O88531,Ppt1,Mus musculus,Palmitoyl-protein thioesterase 1,5,6,5,5,5,5,4,5,5,6,5,6,6,107984.3672,157922.7813,117546.2891,122936.6328,82121.54688,125051.7969,107789.8672,141739.7656,203258.5469,138953.6875,62889.375,126749.5234,89596.91406,45407.898,67250.102,49125.699,55286.801,28382.301,42005.801,32779.602,56339.602,72638.297,57394.699,31912.699,40648.801,31242.1
47832.08,3,O88543,Cops3,Mus musculus,COP9 signalosome complex subunit 3,2,0,1,2,2,1,0,0,0,0,2,0,1,4548.491211,NaN,5716.960938,3114.635254,20977.95313,3748.047119,NaN,NaN,NaN,NaN,3893.151123,NaN,3537.611084,406.3,NaN,228.4,290.7,1850.6,149.7,NaN,NaN,NaN,NaN,290.4,NaN,164.7
46284.81,3,O88544,Cops4,Mus musculus,COP9 signalosome complex subunit 4,0,0,1,0,3,2,0,1,0,0,3,0,2,NaN,NaN,1151.317871,NaN,16472.20703,7362.79248,NaN,1186.041504,NaN,NaN,7173.494141,NaN,2455.404053,NaN,NaN,34.9,NaN,2362.3,509.5,NaN,35.9,NaN,NaN,992.6,NaN,231.1
37402.67,9,O88569,Hnrnpa2b1,Mus musculus,Heterogeneous nuclear ribonucleoproteins A2/B1,4,4,6,5,9,6,6,5,5,5,7,6,7,48976.14453,47550.71094,53376.66797,75793.46875,187587.1875,99986.0625,167445.1094,55777.78516,98873.21875,56282.99609,152840.9219,86075.40625,73782.10938,8270.7,7794.5,10358.3,12649.3,34989.398,20530.4,28418.5,9254,15669.9,10862.3,27799.6,17146.1,14380.4
29486.33,1,O88587,Comt,Mus musculus,Catechol O-methyltransferase,0,0,0,0,1,0,0,0,1,0,1,0,1,NaN,NaN,NaN,NaN,55104.13672,NaN,NaN,NaN,39500.22266,NaN,71602.27344,NaN,43011.10156,NaN,NaN,NaN,NaN,3241.4,NaN,NaN,NaN,2323.5,NaN,4211.9,NaN,2530.1
20489.24,7,O88593,Pglyrp1,Mus musculus,Peptidoglycan recognition protein 1,6,6,6,6,5,7,6,6,4,6,6,6,5,367860.75,379174.9375,349479.5938,354981.0938,173995.4844,431956.4063,777308.5625,377663.1875,545498.875,541833.125,253733.8906,521916.9063,292275.4688,142407.5,143543.203,133909.5,125187.297,63580.398,145333.406,342642.094,209878.797,227535.297,215383.797,85107.102,190585.094,139424.297
13552.72,1,O88653,Lamtor3,Mus musculus,Ragulator complex protein LAMTOR3,1,0,0,1,1,1,0,0,0,0,1,0,0,8290.481445,NaN,NaN,12501.9668,30489.4707,28485.23828,NaN,NaN,NaN,NaN,23126.55078,NaN,NaN,1184.4,NaN,NaN,1786,4355.6,4069.3,NaN,NaN,NaN,NaN,3303.8,NaN,NaN
24451.86,8,O88668,Creg1,Mus musculus,Protein CREG1,8,7,8,7,7,7,6,6,7,7,7,6,8,1152625.25,1367252.75,1012386.563,1127480.125,763775.0625,860123.5,841635.4375,1200968.5,1695204,1280020.5,993961.8125,1209523.125,833840.0625,412189.406,633603.375,357673.094,537186.875,244564.703,374510.812,391770.594,470143.5,619492.312,445700.188,381571.406,500605.094,294894
49548.91,6,O88685,Psmc3,Mus musculus,26S proteasome regulatory subunit 6A,4,1,2,2,6,5,1,3,0,2,6,1,3,11192.18652,4014.284668,11997.8291,7672.398438,41068.65234,14940.80469,4058.565186,3421.253662,NaN,6978.36084,19524.23047,10053.89648,11305.86621,1387.5,169.1,618.3,867.8,13009.5,2217.6,171,617.2,NaN,586.7,10048.4,423.5,705.6
247230.36,18,O88783,F5,Mus musculus,Coagulation factor V,15,16,17,16,17,17,16,15,11,15,16,12,17,32587.54883,55426.83594,41230.16797,68424.5625,80135.79688,30938.98047,67669.24219,54720.11328,43311,58185.00391,47483.80078,42947.77734,33066.90625,2606.1,4945.6,4267.7,5713.4,7483.9,2488.8,5515.4,4609.9,2947.6,5675.2,3966.8,3413.1,3431.1
92663.89,3,O88839,Adam15,Mus musculus,Disintegrin and metalloproteinase domain-containing protein 15,3,3,2,2,1,2,2,3,2,2,2,3,2,17409.44922,21435.70313,19569.20117,19793.42773,6179.046387,18428.27734,12970.9082,18847.57031,27204.81641,17430.46289,19495.05859,19789.92578,13858.40332,1233.2,1610.5,908,893.3,102,835.3,717.6,1747.6,1529.6,668,947,1314.9,650.4
46674.44,14,O88844,Idh1,Mus musculus,Isocitrate dehydrogenase [NADP] cytoplasmic,13,6,9,7,14,11,4,6,5,7,14,7,10,369592.6563,152383.0781,176257.2031,143667.1406,605012.25,248174.5313,140431.9688,146461.1875,153981.6563,211425.1094,322895.5,166174.7344,230926.4844,37712.898,16740.801,21152.1,17046.9,73072.602,31957.9,19669.699,16361.7,17965.699,28389.699,42973.5,21696.1,28019.1
20911.69,2,O88851,Rbbp9,Mus musculus,Putative hydrolase RBBP9,0,1,1,0,2,0,0,2,1,2,2,0,1,NaN,9097.886719,16422.18555,NaN,82935.25781,NaN,NaN,14818.17383,29727.41406,9891.941406,26380.03711,NaN,15359.34668,NaN,921.2,1662.9,NaN,10465,NaN,NaN,1565.3,3010.1,952.1,3245.8,NaN,1555.2
54017.96,4,O88947,F10,Mus musculus,Coagulation factor X,0,0,1,0,4,0,3,0,0,0,3,0,4,NaN,NaN,115438.8516,NaN,485945.3125,NaN,72086.25781,NaN,NaN,NaN,311478.625,NaN,141991.1094,NaN,NaN,5679.6,NaN,32696.9,NaN,1272.5,NaN,NaN,NaN,20215.199,NaN,7653.8
32549.31,4,O88958,Gnpda1,Mus musculus,Glucosamine-6-phosphate isomerase 1,1,1,2,1,4,3,2,1,1,1,2,2,2,17144.02344,8496.65332,6492.619629,7359.300293,51691.37891,12881.1582,14560.66016,16492.07031,13704.4873,14148.71875,16884.41406,15684.09668,16170.24512,1651,546.5,2098.5,473.3,8293.8,3249.6,1356,1060.8,881.5,910,2327,1428.4,1620.1
47585.76,27,O88968,Tcn2,Mus musculus,Transcobalamin-2,26,26,26,25,26,24,27,25,25,24,25,24,26,51458180,66737272,54224208,62550440,31867128,53530108,54561108,59051980,84110912,57285772,38522588,58371036,44202208,10712677,13699359,10505310,12923545,6449293.5,11251427,11652384,12843795,19869442,11782926,8018229,12325257,8673362
103042.73,3,O88990,Actn3,Mus musculus,Alpha-actinin-3,3,2,0,0,1,3,0,1,1,1,0,1,0,11134.7002,38844.83984,NaN,NaN,4090.892334,213100.9375,NaN,16484.82031,4943.90332,6249.371094,NaN,545.5588379,NaN,630.2,1570.1,NaN,NaN,98.3,10022.5,NaN,264.7,79.4,100.4,NaN,13.1,NaN
152405.55,20,O89001,Cpd,Mus musculus,Carboxypeptidase D,17,17,18,17,18,19,18,18,18,18,17,18,18,165859.4531,236191.9531,201602.3281,224125.9531,120938.2656,170923.2188,260901.2188,215220.3438,323604.2813,198459.2344,127097.7422,221181.2969,134592.8594,21868.4,27143,24655.301,28122.9,14465.5,25114.9,27524.5,26160.5,37503.398,23106.801,16696.801,26505.301,15825.2
49372.98,4,O89017,Lgmn,Mus musculus,Legumain,4,2,2,2,4,4,3,4,2,3,4,4,3,38691.30078,41364.83594,20502.66016,29849.30859,18586.86133,25611.32031,47430.76953,35494.95313,68636.65625,29345.35352,34163.73047,35613.15625,40252.47656,6760.5,4030.3,1939.8,2972.6,3526.5,4597.7,6459.4,6792,5619.9,4195.9,5689.7,6241.2,5536.9
69379.08,9,O89020,Afm,Mus musculus,Afamin,3,1,4,5,9,5,5,4,3,5,8,4,7,32740.12695,41778.14453,31095.4668,62750.30078,1187458.625,56037.58203,200796.7188,61121.92188,79027.46094,51156.74219,494417.4375,76857.90625,276322.7188,2346.9,1919.6,2041,5812.1,134253.906,17823.801,14296.8,4670.3,5087.9,4854.6,71568.703,5728,31066.199
61342.25,11,O89023,Tpp1,Mus musculus,Tripeptidyl-peptidase 1,10,10,10,10,11,11,10,10,10,10,9,10,10,486951.0938,520572.8125,369610.6875,427780.0313,239074.2188,358362.9375,352699.4063,381902.9688,541666.8125,432798.9375,281227.5938,430540.5625,281536,82287.5,98547.703,60619.398,69997.602,36137.199,67727.398,77208.297,61745,97174.398,66778.703,44837.301,69256.398,45976.5
30259.92,4,O89051,Itm2b,Mus musculus,Integral membrane protein 2B,3,4,3,3,2,3,2,2,0,3,3,3,3,42395.74219,52532.86719,44185.32422,36555.57813,36631.12891,31088.77734,68102.05469,36422.25,NaN,24169.88281,35447.03516,36168.5,29824.95117,8427.3,10038.1,8788.8,7030.9,2141,5895.2,7101.4,6108.2,NaN,4715.2,7564.7,6874.7,5712
50989.18,13,O89053,Coro1a,Mus musculus,Coronin-1A,9,10,11,9,9,12,11,10,7,9,8,12,9,150275.9688,289303.7188,250242.4844,277431.6875,128386.0859,299745.4688,460665.0938,256024.2969,274258.2188,174911.3594,165006.6094,262865.9688,196758.125,34760.602,70883.102,61556,68539.297,34342.102,72652.5,103021.797,55014.398,65590.102,40789.898,40509.398,57564.5,42418.102
34567.13,3,O89079,Cope,Mus musculus,Coatomer subunit epsilon,2,1,2,1,2,3,1,1,2,2,2,2,2,6899.813477,9135.161133,4923.312012,7017.979004,49274.65234,18151.93164,16670.24219,22735.77148,20223.55469,19354.10938,8451.744141,19185.69141,13258.48535,1170.1,973.5,759.9,747.8,2822.3,1468.7,1776.4,2422.8,2882,2778.9,1552.8,2734.7,2083.8
16604.69,1,O89086,Rbm3,Mus musculus,RNA-binding protein 3,1,1,1,1,1,1,1,1,1,1,1,1,1,49886.69141,737811.875,26895.42773,16993.77734,64681.43359,36332.51172,42736.42188,41987.49609,83938.61719,45475.93359,14870.50684,36614.77344,34133.73828,5543,81979.102,2988.4,1888.2,7186.8,4036.9,4748.5,4665.3,9326.5,5052.9,1652.3,4068.3,3792.6
47783.85,2,O89109,Kcnn4,Mus musculus,Intermediate conductance calcium-activated potassium channel protein 4,2,2,2,1,2,2,1,1,1,2,2,1,1,90208.78125,126642.2813,83500.94531,72549.78906,39434.49219,60116.45703,40935.52344,68640.74219,106863.3516,47061.51563,53014.3125,64905.35156,47994.15625,10668.3,15374.4,14240.8,3266.7,4459.8,6718.5,1843.2,3090.7,4811.8,4415.3,7582,2922.5,2161.1
39771.42,10,P00329,Adh1,Mus musculus,Alcohol dehydrogenase 1,6,6,6,7,10,6,5,7,8,8,9,8,8,49424.94141,48086.87109,70592.39063,63493.75781,541672.75,45058.32422,48113.41016,84786.78125,117560.7422,141355.7656,226180.6094,87400.66406,126439.7656,17101.199,16073.1,19441.301,15346.4,135517.797,14826.8,11661.5,23779.199,27296.5,31121.5,55348.801,23180.1,31745.199
25976.4,2,P00405,Mtco2,Mus musculus,Cytochrome c oxidase subunit 2,2,1,1,1,2,2,2,2,2,2,2,2,2,52828.35938,9787.322266,35607.75,6416.66748,40411.41406,48506.6875,8439.75,28696.17188,20077.13477,33785.27344,43073.11328,24856.25781,19423.29492,9838.9,1346.3,4898,882.6,8006.1,12834.8,1415.2,4782.7,3681.4,5941.4,8963.8,4315.8,3516.2
24570.37,6,P00493,Hprt1,Mus musculus,Hypoxanthine-guanine phosphoribosyltransferase,4,4,4,4,5,6,5,4,3,6,5,6,5,105382.1484,61279.8125,57895.92188,52612.23047,156316.2344,88202.25,99987.34375,70415.88281,80195.50781,69547.98438,123445,68926.60938,67267.57031,26605.5,16557.199,17476.199,17819.699,45289.102,27669.301,23206.5,16834.699,15601.5,20125.301,32845.699,20611.801,16940.801
16820.22,2,P00683,Rnase1,Mus musculus,Ribonuclease pancreatic,2,2,2,2,2,2,2,2,2,2,2,2,2,71350.02344,96526.3125,89046.28125,113041.2578,75973.07031,64752.36719,37488.64063,47611.65625,84262.89063,27669.11523,38331.41406,48177.28516,35340.42969,44238.699,57603.102,50548.301,48483.301,29176.9,37234.898,26490.4,31163.9,59211.801,19123.301,22179.1,29581,15272
57643.7,74,P00687,Amy1,Mus musculus,Alpha-amylase 1,71,73,71,68,69,69,71,68,69,69,70,68,70,3327491072,4046627072,3235552512,2410322944,1560386432,1904325760,2356393984,1897634304,2961554176,1737366016,1833103488,2090423040,2252747776,932452032,1139676544,883104768,831607488,379622880,568301440,743212160,676052928,1066132608,528645056,557309440,689785216,628470208
57318.29,5,P00688,Amy2a5,Mus musculus,Pancreatic alpha-amylase 2a5,5,5,5,5,5,4,4,4,5,4,5,4,4,1614175.5,2360558.5,1950186.375,1220117.25,843080.9375,1132474.25,1128834.875,1072389.125,1246850.125,1120623.125,893411.0625,1188999.75,1462130.5,212322.406,281900.812,242024.797,261447.5,113753.297,170419.594,150043,119362.297,151121.297,143803.703,161431.5,164020.906,168474.203
29021.55,11,P00755,Klk1b1,Mus musculus,Kallikrein 1-related peptidase b1,9,11,11,11,10,6,6,11,9,7,10,9,8,2381037,9409538,9967205,30400722,3988235.25,785440.6875,1200932.75,5719146,3222757.25,696288.4375,7881140.5,1920551.75,4916192.5,594324.312,2210362,2247232.25,7677645.5,808545.875,150200.906,361389.688,2071965.75,695103.812,207486.094,1620698.25,606947,1544785.25
28998.43,10,P00756,Klk1b3,Mus musculus,Kallikrein 1-related peptidase b3,6,8,9,10,8,4,4,7,7,5,9,6,8,825540.0625,3090169,3038942.25,10799782,1537538.625,108060.8281,308747.0313,1722764.75,795155.3125,154353.8594,2700101,759927,1382151.5,308197.594,968714.5,829561.5,3064634.5,459808.094,27110.1,79875.297,563820.5,300402.312,31699.1,747475.5,183613.203,366034.688
28548.37,9,P00757,Klk1b4,Mus musculus,Kallikrein 1-related peptidase-like b4,7,9,9,9,8,7,8,9,9,7,9,8,8,1178966.5,5946346,4812821.5,15162662,2279613,647757.8125,1260683.25,4211929,2786131,448061.8438,3295087,2066117.625,2820229.25,468201.688,1869082.125,1652193.625,5629409,818571.375,274628.812,456883.812,1558719.75,891705.312,270633,1358925,792596.375,1190094.75
44282.64;44342.79,1,P00796;P06281,Ren2;Ren1,Mus musculus,Renin-2;Renin-1,1,1,0,1,1,0,1,1,1,0,1,1,1,43200.60547,66011.51563,NaN,297107.9063,40726.10938,NaN,37304.77734,378035.5938,116155.6016,NaN,71932.96094,109754.8672,89234.52344,2880;2541.2,4400.8;3883,NaN,19807.199;17476.9,2715.1;2395.7,NaN,2487;2194.4,25202.4;22237.4,7743.7;6832.7,NaN,4795.5;4231.4,7317;6456.2,5949;5249.1
29032.55,13,P00920,Ca2,Mus musculus,Carbonic anhydrase 2,1,0,1,3,13,1,2,0,0,1,12,1,11,30156.19141,NaN,17132.64453,38873.84375,2551650.75,18077.00977,1091.096802,NaN,NaN,6986.197266,548399.0625,1765222.25,295050.7813,2866.7,NaN,2001.6,5863.9,718197.5,2767.3,95.4,NaN,NaN,330,202372.5,2877.8,103406.297
186483.89,100,P01027,C3,Mus musculus,Complement C3,42,37,44,60,100,56,67,57,45,56,88,63,78,539970.9375,537062.1875,476728.25,1189972.625,11641345,877004.75,1535376.5,751859.8125,624938.6875,645997.5,4407588.5,819872.875,2476019.5,54519.5,51516.199,42257,115339.203,1208491.75,84835.102,152641.5,77667.5,62298.199,62893.898,446325.188,76123.297,247418.797
192915.29,49,P01029,C4b,Mus musculus,Complement C4-B,14,7,7,16,49,17,26,11,6,10,42,14,35,102740.8906,63356.60156,85417.34375,150110.9063,2234228.5,96572.46875,190503.0156,43622.66406,42032.75,35693.66406,764120.8125,80340.02344,404929.2813,4350.2,3909.9,3167.2,5189,156437.797,5200.6,14273.8,6272.5,4682.1,1669.4,48027.801,4926.2,23705
133072.2,34,P01132,Egf,Mus musculus,Pro-epidermal growth factor,28,31,33,34,33,28,27,29,30,30,31,30,28,1680292.75,3338044,2828221.5,5189345.5,1511513,1098088.625,1448880.25,1877026.375,2494515.75,1627431,1761279.125,1656019.375,1506717,195863,414581.812,338512.906,629513.875,148450.594,117895,170881,216617.594,259799.594,176039.094,221790.906,183619.906,175779.5
27076.7,5,P01139,Ngf,Mus musculus,Beta-nerve growth factor,2,5,4,5,4,1,1,3,1,0,4,2,4,152506.4688,732192.0625,649385.3125,2708367.75,154748.1563,6695.380859,23411.49805,144010.1563,47678.07031,NaN,433789.375,107359.7578,166033.4844,25514.199,163250.297,120256.203,546008.375,21061.4,1233.7,4313.8,27569,8785.2,NaN,100891.898,15131.1,56278.102
18013.52,4,P01592,Jchain,Mus musculus,Immunoglobulin J chain,4,4,4,4,4,4,3,3,4,3,4,3,3,1858481,743579.125,2015419.875,1187180.25,995575.6875,974096,175514.0938,336595.125,1990718.125,283734.625,1081708.75,744757,681619.125,905080.688,403566.812,764598.812,476358.406,168900.203,337091.312,89275.398,208912.297,781460.812,128615.297,403736.094,266675.5,271979.312
12496.18,2,P01630,,Mus musculus,Ig kappa chain V-II region 7S34.1,0,1,1,0,1,0,1,0,0,0,1,0,2,NaN,9007.370117,14272.13672,NaN,18906.48828,NaN,23027.15234,NaN,NaN,NaN,13309.71484,NaN,2298.651123,NaN,4516.9,1694.9,NaN,2245.3,NaN,2734.7,NaN,NaN,NaN,1580.7,NaN,1425.7
12272.85,3,P01631,,Mus musculus,Ig kappa chain V-II region 26-10,3,1,3,1,2,2,1,1,2,0,2,3,2,754426.125,35583.16797,108467.0156,43650.85156,188968.4531,120720.6875,33896.82422,13375.65723,557249.625,NaN,176545.2188,104768.375,73038.60156,275537.906,14702.6,56520.5,18036.1,65760.602,47613.801,14005.8,5526.7,167978.406,NaN,74014,40854.398,71301.797
16433.58,3,P01633,Igkv6-17,Mus musculus,Immunoglobulin kappa chain variable 6-17,3,3,1,1,3,1,2,2,3,2,3,3,3,59057.58203,110939.3906,32525.75781,19530.17578,158561.2344,25231.01367,52717.82813,8274.956055,580374.625,49067.26172,143744.8906,92561.89844,85417.82813,28914.1,31070.699,2928.7,1758.5,41987.801,2271.8,11057.5,13656.8,177002.5,10334.5,28224.6,29877.801,22146.6
12581.26,3,P01635,Igkv12-41,Mus musculus,Immunoglobulin kappa chain variable 12-41 (Fragment),1,0,2,0,3,0,1,1,2,0,3,2,3,5269.085449,NaN,25184.47266,NaN,46155.42969,NaN,1527.221558,107286.5,20087.33398,NaN,23073.98047,10480.93457,14712.01563,423.6,NaN,5573,NaN,12268.5,NaN,122.8,22384.5,5194.2,NaN,6849.6,5021.8,6414.4
12030.44,3,P01636,,Mus musculus,Ig kappa chain V-V region MOPC 149,0,0,0,0,1,0,0,3,0,0,1,1,0,NaN,NaN,NaN,NaN,11594.48047,NaN,NaN,21389.99219,NaN,NaN,7276.889648,1203.684448,NaN,NaN,NaN,NaN,NaN,1534.9,NaN,NaN,11658.9,NaN,NaN,1610.3,266.4,NaN
12985.84,3,P01638,,Mus musculus,Ig kappa chain V-V region L6 (Fragment),1,0,2,2,3,3,3,0,1,2,3,3,3,12151.06738,NaN,16813.97266,25783.99805,107222.7422,600739.6875,41276.32813,NaN,6399.38916,19147.84375,35105.28516,175877.7031,83707.39063,4540.3,NaN,6944.5,14042.1,59571.699,373640.812,22157.1,NaN,2391.2,8624.2,28411.9,108390.898,50487.199
14311.1,2,P01639,Igkv9-120,Mus musculus,Immunoglobulin kappa chain variable 9-120,1,2,2,0,1,2,0,0,0,0,1,1,1,54110.04688,321222.5,114911.9297,NaN,59484.98047,68585.82813,NaN,NaN,NaN,NaN,76507.73438,17581.42578,35399.08203,12410.5,77700.898,26407.4,NaN,13643.2,17711.9,NaN,NaN,NaN,NaN,17547.5,4032.4,8119
12615.11,2,P01642,Igkv5-48,Mus musculus,Immunoglobulin kappa variable 5-48 (Fragment),1,0,2,1,1,0,0,0,2,1,1,1,1,14407.32031,NaN,2403.327881,18941.52344,146965.75,NaN,NaN,NaN,689666.375,25447.27344,57315.16406,224381.7188,118517.2578,2401.2,NaN,458.4,3156.9,24494.301,NaN,NaN,NaN,131549.094,4241.2,9552.5,37397,19752.9
11910.2;11954.32;11989.36,2,P01644;P01645;P01646,,Mus musculus,Ig kappa chain V-V region HP R16.7;Ig kappa chain V-V region HP 93G7;Ig kappa chain V-V region HP 123E6,1,2,1,2,1,2,0,2,1,1,1,2,2,150713.3125,110469.1484,53823.84375,142799.5313,88542.75,41742.38672,NaN,25339.85547,11673.72363,11895.69922,82598.19531,17613.31641,35780.46484,28060.4;28060.4;28060.4,30733.301;30733.301;30733.301,10021.1;10021.1;10021.1,40231.801;40231.801;40231.801,16485.199;16485.199;16485.199,11813.2;11813.2;11813.2,NaN,7041.4;7041.4;7041.4,2173.5;2173.5;2173.5,1090.8;1090.8;1090.8,15378.4;15378.4;15378.4,4942.3;4942.3;4942.3,10254;10254;10254
11961.3,1,P01648,,Mus musculus,Ig kappa chain V-V region HP 91A3,1,1,1,0,1,1,0,0,0,0,1,0,1,369556.5313,53454.45703,32870.64453,NaN,28106.83203,11355.2002,NaN,NaN,NaN,NaN,71278.03906,NaN,42063.64063,111509.398,16256.3,7010.6,NaN,5994.6,2421.8,NaN,NaN,NaN,NaN,21524.5,NaN,12698
11980.41;12054.49,3,P01654;P01655,,Mus musculus,Ig kappa chain V-III region PC 2880/PC 1229;Ig kappa chain V-III region PC 7132,2,1,1,2,3,2,2,0,1,0,3,1,3,1636.924561,15706.31348,5055.150879,14998.05566,61215.75781,37600.66406,21096.50781,NaN,43358.76172,NaN,28076.70508,19367.89258,13406.87012,715.8;715.8,7747.2;7747.2,1508.9;1508.9,6575.7;6575.7,54006.898;54006.898,32342.801;32342.801,5050.6;5050.6,NaN,21376.5;21376.5,NaN,23074.301;23074.301,5781.1;5781.1,10066.5;10066.5
11699.03,1,P01674,,Mus musculus,Ig kappa chain V-III region PC 2154,0,0,0,0,1,0,1,0,1,0,1,1,1,NaN,NaN,NaN,NaN,25144.26758,NaN,7303.104492,NaN,272496.2813,NaN,5944.116211,49884.76172,28698.83008,NaN,NaN,NaN,NaN,6286.1,NaN,1825.8,NaN,68124.102,NaN,1486,12471.2,7174.7
11627.1;11584.07;11568.07;11554.05;11502,1,P01675;P01676;P01677;P01678;P01679,,Mus musculus,Ig kappa chain V-VI region XRPC 44;Ig kappa chain V-VI region XRPC 24;Ig kappa chain V-VI region TEPC 601/TEPC 191;Ig kappa chain V-VI region SAPC 10;Ig kappa chain V-VI region J539,0,0,0,0,1,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,35504.95313,NaN,NaN,NaN,NaN,NaN,13279.69824,NaN,NaN,NaN,NaN,NaN,NaN,13756.6;13756.6;13756.6;13756.6;13756.6,NaN,NaN,NaN,NaN,NaN,2878.6;2878.6;2878.6;2878.6;2878.6,NaN,NaN
12221.71;13465.22;13529.28;12221.79;13418.25,1,P01723;P01726;P01727;P01728;P01729,,Mus musculus,Ig lambda-1 chain V region;Ig lambda-1 chain V region H2020;Ig lambda-1 chain V region S43;Ig lambda-2 chain V region;Ig lambda-2 chain V region MOPC 315,1,1,1,1,1,0,1,0,0,1,1,1,1,3756.950928,15087.77734,16863.67383,11579.57031,67579.6875,NaN,7829.991699,NaN,NaN,1761.039673,30723.41797,3392.35376,9512.819336,536.7;536.7;536.7;536.7;469.6,2155.4;2155.4;2155.4;2155.4;1886,2409.1;2409.1;2409.1;2409.1;2108,1654.2;1654.2;1654.2;1654.2;1447.4,9654.2;9654.2;9654.2;9654.2;8447.5,NaN,1118.6;1118.6;1118.6;1118.6;978.7,NaN,NaN,251.6;251.6;251.6;251.6;220.1,4389.1;4389.1;4389.1;4389.1;3840.4,484.6;484.6;484.6;484.6;424,1359;1359;1359;1359;1189.1
12866.63,2,P01750,,Mus musculus,Ig heavy chain V region 102,0,0,1,0,2,0,0,0,1,0,2,0,0,NaN,NaN,15728.25098,NaN,22839.92188,NaN,NaN,NaN,77587.90625,NaN,9601.168945,NaN,NaN,NaN,NaN,2025.1,NaN,6969.3,NaN,NaN,NaN,13789.5,NaN,2958.3,NaN,NaN
12889.68;12920.76;12876.73,1,P01753;P01754;P06328,;Ighv1-62-3;Ighv1-72,Mus musculus,Ig heavy chain V region 186-1;Ig heavy chain V region 1-62-3;Ig heavy chain V region 1-72,1,1,1,1,1,1,1,0,0,1,1,0,1,1852717,193748.1406,36671.60547,78606.35156,23597.69922,9341.737305,66116.75,NaN,NaN,24169.5957,191355.6719,NaN,99299.70313,308786.188;264673.906;264673.906,32291.4;27678.301;27678.301,6111.9;5238.8;5238.8,13101.1;11229.5;11229.5,3932.9;3371.1;3371.1,1557;1334.5;1334.5,11019.5;9445.2;9445.2,NaN,NaN,4028.3;3452.8;3452.8,31892.6;27336.5;27336.5,NaN,16550;14185.7;14185.7
